"Município";"Óbitos p/Residênc"
" MUNICIPIO IGNORADO - RO";22
"110001 ALTA FLORESTA D'OESTE";174
"110002 ARIQUEMES";570
"110003 CABIXI";32
"110004 CACOAL";585
"110005 CEREJEIRAS";108
"110006 COLORADO DO OESTE";109
"110007 CORUMBIARA";43
"110008 COSTA MARQUES";77
"110009 ESPIGAO D'OESTE";183
"110010 GUAJARA-MIRIM";244
"110011 JARU";349
"110012 JI-PARANA";786
"110013 MACHADINHO D'OESTE";187
"110014 NOVA BRASILANDIA D'OESTE";101
"110015 OURO PRETO DO OESTE";256
"110018 PIMENTA BUENO";216
"110020 PORTO VELHO";2860
"110025 PRESIDENTE MEDICI";152
"110026 RIO CRESPO";23
"110028 ROLIM DE MOURA";337
"110029 SANTA LUZIA D'OESTE";55
"110030 VILHENA";595
"110032 SAO MIGUEL DO GUAPORE";121
"110033 NOVA MAMORE";131
"110034 ALVORADA D'OESTE";98
"110037 ALTO ALEGRE DOS PARECIS";63
"110040 ALTO PARAISO";97
"110045 BURITIS";166
"110050 NOVO HORIZONTE DO OESTE";49
"110060 CACAULANDIA";31
"110070 CAMPO NOVO DE RONDONIA";42
"110080 CANDEIAS DO JAMARI";152
"110090 CASTANHEIRAS";21
"110092 CHUPINGUAIA";35
"110094 CUJUBIM";74
"110100 GOVERNADOR JORGE TEIXEIRA";50
"110110 ITAPUA DO OESTE";46
"110120 MINISTRO ANDREAZZA";54
"110130 MIRANTE DA SERRA";60
"110140 MONTE NEGRO";68
"110143 NOVA UNIAO";36
"110145 PARECIS";15
"110146 PIMENTEIRAS DO OESTE";11
"110147 PRIMAVERA DE RONDONIA";25
"110148 SAO FELIPE D'OESTE";43
"110149 SAO FRANCISCO DO GUAPORE";79
"110150 SERINGUEIRAS";70
"110155 TEIXEIROPOLIS";33
"110160 THEOBROMA";52
"110170 URUPA";79
"110175 VALE DO ANARI";51
"110180 VALE DO PARAISO";58
" MUNICIPIO IGNORADO - AC";2
"120001 ACRELANDIA";59
"120005 ASSIS BRASIL";35
"120010 BRASILEIA";150
"120013 BUJARI";58
"120017 CAPIXABA";49
"120020 CRUZEIRO DO SUL";439
"120025 EPITACIOLANDIA";94
"120030 FEIJO";149
"120032 JORDAO";23
"120033 MANCIO LIMA";90
"120034 MANOEL URBANO";38
"120035 MARECHAL THAUMATURGO";37
"120038 PLACIDO DE CASTRO";77
"120039 PORTO WALTER";39
"120040 RIO BRANCO";2108
"120042 RODRIGUES ALVES";53
"120043 SANTA ROSA DO PURUS";42
